circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
2.45E+14,Cosmos,0.070574,0.070574,0.02706,1.73E+14,0.70895,2019-09-21T12:00:06.780502,2.45E+14,0.09955,3.18,3.29,3.04,3.07,146995495,586276849
2.45E+14,Cosmos,0.070624,0.070624,0.02639,1.75E+14,0.71423,2019-09-20T12:00:06.602354,2.45E+14,0.09888,3.14,3.26,3.08,3.18,148024573,607338024
2.45E+14,Cosmos,0.070586,0.070586,0.02626,1.75E+14,0.71512,2019-09-19T12:00:10.889324,2.45E+14,0.0987,3.31,3.31,2.94,3.13,184157575,596904964
2.45E+14,Cosmos,0.070636,0.070636,0.02628,1.75E+14,0.71515,2019-09-18T12:00:11.430920,2.45E+14,0.09877,3.31,3.4,3.26,3.31,163496342,631189165
2.44E+14,Cosmos,0.070698,0.070698,0.02643,1.75E+14,0.71417,2019-09-17T12:00:11.978574,2.44E+14,0.09899,3.33,3.44,3.22,3.32,177431367,633548174
2.44E+14,Cosmos,0.070632,0.070632,0.02634,1.75E+14,0.71463,2019-09-16T12:00:16.292094,2.44E+14,0.09884,3.44,3.56,3.18,3.32,180803360,632979343
2.44E+14,Cosmos,0.070465,0.070465,0.02623,1.75E+14,0.71506,2019-09-15T12:00:10.764077,2.44E+14,0.09854,3.11,3.54,3.1,3.45,189272974,657552909
2.44E+14,Cosmos,0.070444,0.070444,0.02627,1.75E+14,0.71469,2019-09-14T12:00:48.837088,2.44E+14,0.09857,3.17,3.24,3,3.11,173629172,592230157
2.44E+14,Cosmos,0.070499,0.070499,0.02623,1.75E+14,0.71515,2019-09-13T12:00:17.915990,2.44E+14,0.09858,3.08,3.3,3.01,3.17,199583060,605163896
2.44E+14,Cosmos,0.070195,0.070195,0.02638,1.74E+14,0.71315,2019-09-12T12:00:11.540867,2.44E+14,0.09843,2.58,3.2,2.51,3.08,192961557,587383710
2.44E+14,Cosmos,0.070085,0.070085,0.02603,1.75E+14,0.71558,2019-09-11T12:00:11.427783,2.44E+14,0.09794,2.6,2.7,2.42,2.57,144069231,490934316
2.44E+14,Cosmos,0.070106,0.070106,0.02605,1.75E+14,0.7155,2019-09-10T12:00:13.599783,2.44E+14,0.09798,2.74,2.93,2.54,2.59,189092871,494703405
2.44E+14,Cosmos,0.070164,0.070164,0.02637,1.74E+14,0.71317,2019-09-09T12:00:17.249018,2.44E+14,0.09838,2.73,2.96,2.45,2.74,225072497,522540638
2.44E+14,Cosmos,0.069764,0.069764,0.02617,1.74E+14,0.71366,2019-09-08T12:00:11.058340,2.44E+14,0.09776,2.18,2.75,2.16,2.73,196201839,521361739
